idSolicitud,idAgente,idUsuario,FechaCreacion,FechaResolucion,Categoria,SubCategoria,idModo,idModulo,ValorEncuesta
18218,694,544,"2020-01-28 06:28:37",NULL,"Soporte Externo",Consulta,9,64,0
18219,105,558,"2020-01-28 06:36:18",NULL,"Soporte Externo",Capacitación,9,66,0
18220,105,591,"2020-01-28 21:16:50",NULL,"Soporte Externo",Capacitación,9,66,0
18221,694,530,"2020-01-28 21:26:53",NULL,"Soporte Externo",Consulta,9,73,0
18223,694,522,"2020-01-28 22:02:43",NULL,"Soporte Externo",Consulta,9,71,0
18224,694,591,"2020-01-28 22:08:01",NULL,"Soporte Externo",Consulta,9,66,0
18225,694,530,"2020-01-28 22:34:42",NULL,"Soporte Externo",Consulta,9,66,0
18226,105,553,"2020-01-28 23:25:47",NULL,"Soporte Externo",Capacitación,9,72,0
18227,694,598,"2020-01-28 23:46:28",NULL,"Soporte Externo",Consulta,9,66,0
18228,694,551,"2020-01-29 00:10:32",NULL,"Soporte Externo",Consulta,9,65,0
18229,105,599,"2020-01-29 00:30:35",NULL,"Soporte Externo",Capacitación,9,66,0
18230,17,599,"2020-01-29 00:32:06",NULL,"Soporte Externo",Capacitación,9,66,0
18232,694,538,"2020-01-29 00:51:00",NULL,"Soporte Externo",Consulta,9,64,0
18233,694,545,"2020-01-29 01:32:59",NULL,"Soporte Externo",Error,9,64,0
18234,105,529,"2020-01-29 03:37:12",NULL,"Soporte Externo",Capacitación,10,77,0
18236,105,560,"2020-01-29 04:45:23",NULL,"Soporte Externo",Configuración,9,63,0
18237,105,537,"2020-01-29 06:21:06",NULL,"Soporte Externo",Capacitación,9,66,0
18238,105,563,"2020-01-29 06:53:33",NULL,"Soporte Externo",Configuración,9,64,0
18239,105,514,"2020-01-29 21:49:30",NULL,"Soporte Externo",Capacitación,9,64,0
18240,105,521,"2020-01-29 22:12:33",NULL,"Soporte Externo",Configuración,9,64,0
18241,105,537,"2020-01-29 23:26:04",NULL,"Soporte Externo",Configuración,9,70,0
18242,694,527,"2020-01-29 23:53:21",NULL,"Soporte Externo",Consulta,9,64,0
18244,694,554,"2020-01-30 00:15:44",NULL,"Soporte Externo",Consulta,9,64,0
18245,105,530,"2020-01-30 00:24:24",NULL,"Soporte Externo",Configuración,9,71,0
18246,694,554,"2020-01-30 00:27:32",NULL,"Soporte Externo",Consulta,9,66,0
18247,694,544,"2020-01-30 00:56:50",NULL,"Soporte Externo",Consulta,9,64,0
18248,105,513,"2020-01-30 01:15:26",NULL,"Soporte Externo","Candados o PDA",9,65,0
18249,694,590,"2020-01-30 01:17:04",NULL,"Soporte Externo",Consulta,9,64,0
18250,105,563,"2020-01-30 01:27:19",NULL,"Soporte Externo",Capacitación,9,66,0
18251,694,600,"2020-01-30 01:29:00",NULL,"Soporte Externo",Consulta,9,64,0
18252,105,540,"2020-01-30 01:39:47",NULL,"Soporte Externo",Capacitación,9,64,0
18253,105,519,"2020-01-30 01:46:23",NULL,"Soporte Externo",Capacitación,9,66,0
18255,105,522,"2020-01-30 04:26:51",NULL,"Soporte Externo",Capacitación,9,69,0
18257,105,601,"2020-01-30 04:33:01",NULL,"Soporte Externo",Capacitación,9,65,0
18258,105,531,"2020-01-30 04:46:59",NULL,"Soporte Externo",Capacitación,9,72,0
18259,519,569,"2020-01-30 04:51:16",NULL,"Soporte Externo",Error,9,74,0
18260,105,576,"2020-01-30 04:58:53",NULL,"Soporte Externo",Capacitación,9,65,0
18261,105,567,"2020-01-30 05:12:28",NULL,"Soporte Externo",Configuración,9,65,0
18262,105,576,"2020-01-30 05:26:22",NULL,"Soporte Externo",Error,9,65,0
18263,105,558,"2020-01-30 05:31:14",NULL,"Soporte Externo",Capacitación,9,74,0
18265,105,602,"2020-01-30 05:45:24",NULL,"Soporte Externo",Capacitación,9,65,0
18268,105,558,"2020-01-30 06:04:29",NULL,"Soporte Externo",Capacitación,9,74,0
18270,694,537,"2020-01-30 06:10:30",NULL,"Soporte Externo",Consulta,9,64,0
18271,519,603,"2020-01-30 06:11:57",NULL,"Soporte Externo",Consulta,9,66,0
18272,694,530,"2020-01-30 06:16:46",NULL,"Soporte Externo",Consulta,9,76,0
18273,105,537,"2020-01-30 06:19:34",NULL,"Soporte Externo",Capacitación,9,64,0
18274,105,558,"2020-01-30 06:57:34",NULL,"Soporte Externo",Capacitación,9,74,0
18276,694,616,"2020-01-30 20:38:39",NULL,"Soporte Externo",Consulta,10,66,0
18277,105,604,"2020-01-30 21:52:53",NULL,"Soporte Externo",Capacitación,9,71,0
18278,105,530,"2020-01-30 22:31:33",NULL,"Soporte Externo",Capacitación,9,65,0
18279,694,558,"2020-01-30 22:40:56",NULL,"Soporte Externo",Configuración,8,74,0
18281,105,522,"2020-01-31 00:53:18",NULL,"Soporte Externo",Capacitación,9,64,0
18282,105,584,"2020-01-31 01:05:08",NULL,"Soporte Externo",Capacitación,9,64,0
18284,105,593,"2020-01-31 01:27:02",NULL,"Soporte Externo",Capacitación,9,66,0
18285,105,604,"2020-01-31 01:32:38",NULL,"Soporte Externo",Capacitación,9,64,0
18286,105,605,"2020-01-31 04:03:16",NULL,"Soporte Externo",Capacitación,9,71,0
18287,64,521,"2020-01-31 04:18:47",NULL,"Soporte Externo",Consulta,9,64,0
18288,64,606,"2020-01-31 04:51:18",NULL,"Soporte Externo",Consulta,9,77,0
18289,64,532,"2020-01-31 05:11:12",NULL,"Soporte Externo",Consulta,9,67,0
18290,105,541,"2020-01-31 05:14:31",NULL,"Soporte Externo",Configuración,9,70,0
18291,105,551,"2020-01-31 05:39:33",NULL,"Soporte Externo",Capacitación,9,64,0
18292,694,584,"2020-01-31 05:40:08",NULL,"Soporte Externo",Consulta,9,67,0
18293,694,617,"2020-01-31 06:17:43",NULL,"Soporte Externo",Consulta,10,64,0
18294,105,563,"2020-01-31 06:20:19",NULL,"Soporte Externo",Capacitación,9,64,0
18295,64,593,"2020-01-31 06:21:15",NULL,"Soporte Externo",Configuración,9,66,0
18296,105,537,"2020-01-31 06:54:30",NULL,"Soporte Externo",Capacitación,9,64,0
18297,105,604,"2020-01-31 22:42:44",NULL,"Soporte Externo",Capacitación,9,65,0
18298,694,562,"2020-01-31 22:44:31",NULL,"Soporte Externo",Actualización,9,65,0
18299,694,600,"2020-01-31 22:57:04",NULL,"Soporte Externo",Consulta,9,64,0
18300,694,543,"2020-01-31 23:17:56",NULL,"Soporte Externo",Configuración,9,64,0
18301,694,542,"2020-01-31 23:39:18",NULL,"Soporte Externo",Consulta,9,66,0
18302,105,595,"2020-02-01 00:21:03",NULL,"Soporte Externo",Capacitación,9,71,0
